"subjectId" "activityId" "activityType"
1 1 4
1 2 6
1 3 5
1 4 2
1 5 3
1 6 1
2 1 4
2 2 6
2 3 5
2 4 2
2 5 3
2 6 1
3 1 4
3 2 6
3 3 5
3 4 2
3 5 3
3 6 1
4 1 4
4 2 6
4 3 5
4 4 2
4 5 3
4 6 1
5 1 4
5 2 6
5 3 5
5 4 2
5 5 3
5 6 1
6 1 4
6 2 6
6 3 5
6 4 2
6 5 3
6 6 1
7 1 4
7 2 6
7 3 5
7 4 2
7 5 3
7 6 1
8 1 4
8 2 6
8 3 5
8 4 2
8 5 3
8 6 1
9 1 4
9 2 6
9 3 5
9 4 2
9 5 3
9 6 1
10 1 4
10 2 6
10 3 5
10 4 2
10 5 3
10 6 1
11 1 4
11 2 6
11 3 5
11 4 2
11 5 3
11 6 1
12 1 4
12 2 6
12 3 5
12 4 2
12 5 3
12 6 1
13 1 4
13 2 6
13 3 5
13 4 2
13 5 3
13 6 1
14 1 4
14 2 6
14 3 5
14 4 2
14 5 3
14 6 1
15 1 4
15 2 6
15 3 5
15 4 2
15 5 3
15 6 1
16 1 4
16 2 6
16 3 5
16 4 2
16 5 3
16 6 1
17 1 4
17 2 6
17 3 5
17 4 2
17 5 3
17 6 1
18 1 4
18 2 6
18 3 5
18 4 2
18 5 3
18 6 1
19 1 4
19 2 6
19 3 5
19 4 2
19 5 3
19 6 1
20 1 4
20 2 6
20 3 5
20 4 2
20 5 3
20 6 1
21 1 4
21 2 6
21 3 5
21 4 2
21 5 3
21 6 1
22 1 4
22 2 6
22 3 5
22 4 2
22 5 3
22 6 1
23 1 4
23 2 6
23 3 5
23 4 2
23 5 3
23 6 1
24 1 4
24 2 6
24 3 5
24 4 2
24 5 3
24 6 1
25 1 4
25 2 6
25 3 5
25 4 2
25 5 3
25 6 1
26 1 4
26 2 6
26 3 5
26 4 2
26 5 3
26 6 1
27 1 4
27 2 6
27 3 5
27 4 2
27 5 3
27 6 1
28 1 4
28 2 6
28 3 5
28 4 2
28 5 3
28 6 1
29 1 4
29 2 6
29 3 5
29 4 2
29 5 3
29 6 1
30 1 4
30 2 6
30 3 5
30 4 2
30 5 3
30 6 1
